1919,Johanna,F
1919,Johannah,F
1919,Johannes,M
1919,John,F
1919,John,M
1919,Johnathan,M
1919,Johnathon,M
1919,Johnetta,F
1919,Johnette,F
1919,Johney,M
1919,Johnie,F
1919,Johnie,M
1919,Johnna,F
1919,Johnney,M
1919,Johnnie,F
1919,Johnnie,M
1919,Johnny,F
1919,Johnny,M
1919,Johnnye,F
1919,Johnsie,F
1919,Johnson,M
1919,Johnston,M
1919,Johny,M
1919,Johnye,F
1919,Jonathan,M
1919,Jonathon,M
1919,Lathan,M
1919,Nathan,M
1919,Nathanel,M
1920,Johan,M
1920,Johann,F
1920,Johann,M
1920,Johanna,F
1920,Johannah,F
1920,Johanne,F
1920,Johannes,M
1920,John,F
1920,John,M
1920,Johnathan,M
1920,Johnetta,F
1920,Johney,M
1920,Johnie,F
1920,Johnie,M
1920,Johnna,F
1920,Johnney,M
1920,Johnnie,F
1920,Johnnie,M
1920,Johnny,F
1920,Johnny,M
1920,Johnnye,F
1920,Johnsie,F
1920,Johnson,M
1920,Johnston,M
1920,Johny,F
1920,Johny,M
1920,Johnye,F
1920,Jonathan,M
1920,Lathan,M
1920,Nathan,M
1920,Nathanel,M
1921,Johan,M
1921,Johana,F
1921,Johann,F
1921,Johanna,F
1921,Johannah,F
1921,Johanne,F
1921,Johannes,M
1921,John,F
1921,John,M
1921,Johnathan,M
1921,Johnetta,F
1921,Johnette,F
1921,Johney,M
1921,Johnie,F
1921,Johnie,M
1921,Johnney,M
1921,Johnnie,F
1921,Johnnie,M
1921,Johnny,F
1921,Johnny,M
1921,Johnnye,F
1921,Johnsie,F
1921,Johnson,M
1921,Johnston,M
1921,Johnsy,F
1921,Johny,M
1921,Johnye,F
1921,Jonathan,M
1921,Jonathon,M
1921,Lathan,M
1921,Nathan,F
1921,Nathan,M
1922,Johan,M
1922,Johana,F
1922,Johann,F
1922,Johanna,F
1922,Johannah,F
1922,Johanne,F
1922,Johannes,M
1922,John,F
1922,John,M
1922,Johnathan,M
1922,Johnetta,F
1922,Johnette,F
1922,Johney,M
